Role,Skills,Category,AverageSalary,Location,DemandLevel
Data Analyst,"Confluence,Deep Learning,Penetration Testing,Pandas",IT/Software,₹12 LPA,San Francisco,Medium
Graphic Designer,"Rust,MacOS,AWS,Windows,Kanban,Power BI",HR,₹45 LPA,Pune,Very High
Frontend Developer,"React,Natural Language Processing,UI Design,Sketch,Python,JavaScript,PyTorch",Finance,₹11 LPA,Pune,High
Data Scientist,"Penetration Testing,Vue.js,Bash,Bitbucket,Docker,Ansible,MacOS",Marketing,₹9 LPA,London,Low
Database Administrator,"MongoDB,Blockchain,NumPy,PostgreSQL,Redis",Operations,₹28 LPA,Remote,Low
Accountant,"GitLab,Solidity,Rust,TypeScript,Adobe XD",HR,₹36 LPA,Hyderabad,High
Blockchain Developer,"Angular,Google Cloud,Machine Learning,ASP.NET,PHP,GitLab,Windows,Cryptography",Design,₹18 LPA,Chennai,Low
Frontend Developer,"Excel,Windows,GitHub",Data Science,₹41 LPA,Remote,Low
Accountant,"Solidity,Django,Sketch,Computer Vision,Cybersecurity,PHP",Marketing,₹35 LPA,San Francisco,Very High
Mobile App Developer,"Blockchain,HTML,Bitbucket,C++,AWS,C#,Sketch,PHP",HR,₹8 LPA,Delhi NCR,Medium
Machine Learning Engineer,"Go,PHP,Adobe XD,Linux,Google Cloud",HR,₹33 LPA,Remote,Very High
Blockchain Developer,"SQL,Ansible,Excel,AWS,NumPy,Kanban",Data Science,₹10 LPA,Bangalore,Medium
AI Researcher,"CSS,Power BI,MySQL,UX Design",Marketing,₹30 LPA,Delhi NCR,Medium
Graphic Designer,"Spring Boot,PyTorch,Azure,Ethereum,GitHub",Marketing,₹8 LPA,Hyderabad,Low
Operations Manager,"MySQL,Tableau,PowerShell,Ethereum,NoSQL,Data Analysis,Kubernetes",IT/Software,₹4 LPA,Remote,Medium
Site Reliability Engineer,"Google Cloud,Bitbucket,Java,Agile,Python",Marketing,₹45 LPA,Chennai,Medium
HR Manager,"TensorFlow,Jenkins,Solidity,Adobe XD,Data Visualization",IT/Software,₹10 LPA,New York,Medium
Business Analyst,"GitHub,Natural Language Processing,Spring Boot,Vue.js,Express.js,NoSQL",Design,₹35 LPA,Hyderabad,Very High
Machine Learning Engineer,"Git,MacOS,Angular,Cybersecurity,Blockchain,Agile,TensorFlow",Finance,₹31 LPA,Delhi NCR,Medium
UI/UX Designer,"Ethereum,Data Analysis,Blockchain,Excel,Photoshop,MongoDB",Operations,₹33 LPA,London,Low
Network Engineer,"Data Analysis,Excel,Google Cloud,C++,Agile,ASP.NET,Confluence,Kotlin",IT/Software,₹20 LPA,Hyderabad,High
QA Engineer,"MacOS,Excel,AWS",IT/Software,₹42 LPA,Delhi NCR,High
Backend Developer,"Data Analysis,Ruby on Rails,Smart Contracts,GitLab,Agile,C++,Ansible,NumPy",Marketing,₹13 LPA,Delhi NCR,High
Full Stack Developer,"Kotlin,Sketch,Solidity,Network Security,Azure,Go,Elasticsearch,MongoDB",Operations,₹39 LPA,London,Very High
Machine Learning Engineer,"C#,Docker,Natural Language Processing,Cybersecurity,Solidity,Jira,NoSQL,Machine Learning",HR,₹18 LPA,London,Medium
Data Scientist,"GitHub,Angular,Figma",Operations,₹21 LPA,San Francisco,Low
IT Support Specialist,"Confluence,Vue.js,UI Design,Bash,Tableau",Design,₹26 LPA,Remote,High
Site Reliability Engineer,"PHP,Blockchain,C++,Scikit,Angular,Kanban,Azure,Express.js",Finance,₹19 LPA,New York,High
Graphic Designer,"Redis,Bash,Spring Boot,SQL,Data Visualization,Rust,TensorFlow,Django",Operations,₹45 LPA,Hyderabad,Very High
Game Developer,"Django,UI Design,AWS,Elasticsearch,Solidity,C++",HR,₹40 LPA,San Francisco,Very High
Data Scientist,"TypeScript,Cryptography,Java,Django",Operations,₹40 LPA,Bangalore,High
Business Analyst,"Windows,Agile,Bitbucket,Node.js,SQL,Angular,Network Security,Photoshop",HR,₹36 LPA,Bangalore,Very High
Mobile App Developer,"Docker,UI Design,Adobe XD,PostgreSQL",Marketing,₹29 LPA,New York,Low
Database Administrator,"Express.js,Spring Boot,Tableau",Marketing,₹30 LPA,Bangalore,Low
Scrum Master,"Blockchain,Django,Java,Ansible,Natural Language Processing,NoSQL,TensorFlow",Operations,₹17 LPA,Chennai,Low
QA Engineer,"PostgreSQL,Ethereum,Excel,Cryptography,Data Analysis,UX Design,Ruby on Rails,Angular",Marketing,₹28 LPA,Hyderabad,High
Game Developer,"UI Design,PyTorch,C++,MySQL,Agile,Scikit,Java",Business,₹30 LPA,Hyderabad,Medium
Technical Writer,"NoSQL,Network Security,Jenkins,Elasticsearch,Solidity,PowerShell,Photoshop,PHP",IT/Software,₹32 LPA,Pune,Very High
Security Analyst,"Go,NumPy,Scrum,Jira,Vue.js,AWS,Ruby on Rails",IT/Software,₹10 LPA,New York,Very High
Technical Recruiter,"PHP,Ethereum,Go",Data Science,₹23 LPA,Bangalore,Medium
Sales Executive,"Bitbucket,Power BI,C#,Go,Python,TypeScript",Data Science,₹22 LPA,Chennai,Medium
DevOps Engineer,"Swift,CSS,Excel,Penetration Testing,Scrum,JavaScript,Blockchain",Business,₹20 LPA,Pune,Medium
DevOps Engineer,"Network Security,Illustrator,Google Cloud,SQL,Data Analysis,Scrum,Ruby",Data Science,₹23 LPA,Chennai,High
Network Engineer,"Scrum,GitLab,Git,Spring Boot,Computer Vision",Operations,₹8 LPA,Bangalore,Medium
IT Support Specialist,"Google Cloud,Git,Deep Learning",Design,₹40 LPA,London,Medium
Accountant,"Photoshop,Linux,TensorFlow",Business,₹20 LPA,London,Medium
IT Support Specialist,"Ansible,SQL,Java,Deep Learning,Windows",Marketing,₹21 LPA,London,Low
Blockchain Developer,"Photoshop,Adobe XD,Data Visualization,Scikit,Agile,MacOS,Machine Learning",Business,₹4 LPA,New York,Medium
HR Manager,"MacOS,Excel,Ansible,Spring Boot,Confluence",Design,₹4 LPA,Mumbai,Very High
Data Engineer,"Excel,AWS,Vue.js,Swift,PostgreSQL",Operations,₹44 LPA,San Francisco,Medium
Technical Recruiter,"GitHub,Ruby,Node.js",HR,₹29 LPA,Remote,Medium
Operations Manager,"Spring Boot,Ansible,GitLab,MySQL,Jira,Ruby on Rails",Operations,₹39 LPA,London,Very High
Video Editor,"Confluence,Django,Power BI,Blockchain,Redis",Marketing,₹26 LPA,Delhi NCR,High
Business Analyst,"Data Visualization,Node.js,Spring Boot,Docker",HR,₹14 LPA,Hyderabad,High
AI Researcher,"Kotlin,Cybersecurity,AWS,Windows,UX Design",Design,₹15 LPA,Bangalore,Medium
QA Engineer,"TensorFlow,Bash,MySQL,Power BI,Spring Boot,Bitbucket,MongoDB,Confluence",Data Science,₹22 LPA,Delhi NCR,High
Sales Executive,"Data Analysis,Power BI,Machine Learning,Bash,Google Cloud",IT/Software,₹5 LPA,Bangalore,Low
AI Researcher,"Ansible,Solidity,PyTorch,Java",HR,₹33 LPA,Delhi NCR,Very High
QA Engineer,"Figma,Blockchain,GitHub,Confluence",Marketing,₹40 LPA,Remote,Very High
Site Reliability Engineer,"UX Design,NoSQL,Flask,Azure,Express.js,HTML,Go",Design,₹26 LPA,Chennai,High
Backend Developer,"MongoDB,Network Security,Azure,CSS,Vue.js",Finance,₹18 LPA,Delhi NCR,Low
DevOps Engineer,"Computer Vision,Vue.js,Terraform,Express.js",Data Science,₹31 LPA,Chennai,Low
Scrum Master,"Spring Boot,Network Security,Adobe XD,UX Design,Django,Jenkins",IT/Software,₹41 LPA,Pune,Medium
Mobile App Developer,"Docker,Figma,NumPy,Cryptography",HR,₹18 LPA,Bangalore,Very High
Legal Advisor,"AWS,C++,TensorFlow,GitHub,Machine Learning,MongoDB,Pandas",Marketing,₹19 LPA,Hyderabad,Medium
Content Creator,"Python,Figma,Kanban,UI Design,Machine Learning",Operations,₹7 LPA,Pune,Medium
Content Creator,"PowerShell,JavaScript,TypeScript,Data Visualization,UI Design,GitLab,Go,Bitbucket",Marketing,₹12 LPA,Chennai,High
Data Analyst,"Computer Vision,Adobe XD,Bitbucket,Express.js",Design,₹27 LPA,San Francisco,Low
Content Creator,"CSS,Ansible,GitLab,Smart Contracts,React,Java,ASP.NET,Cryptography",HR,₹25 LPA,Chennai,Very High
Technical Writer,"Cryptography,React,Angular,Go,Scrum,Data Analysis",Business,₹21 LPA,London,Medium
Frontend Developer,"Cryptography,ASP.NET,Confluence",Data Science,₹42 LPA,New York,Medium
DevOps Engineer,"Blockchain,Network Security,Adobe XD,Google Cloud,TypeScript",IT/Software,₹29 LPA,London,Low
Content Creator,"Sketch,Docker,Java,Redis,Windows",Marketing,₹28 LPA,Mumbai,Medium
Frontend Developer,"Django,Data Visualization,PowerShell",IT/Software,₹5 LPA,London,Low
Operations Manager,"Blockchain,ASP.NET,Kubernetes,NumPy,Data Analysis",Operations,₹31 LPA,Pune,Low
DevOps Engineer,"Flask,Tableau,PHP,Data Analysis,PostgreSQL,Go,Photoshop",Finance,₹13 LPA,Mumbai,Low
Blockchain Developer,"Ruby,Flask,Kubernetes",Data Science,₹42 LPA,Hyderabad,Very High
Accountant,"MongoDB,TypeScript,UX Design,Linux",HR,₹35 LPA,Bangalore,Low
Customer Success Manager,"Docker,Photoshop,Kanban",Finance,₹25 LPA,Remote,Very High
Full Stack Developer,"Ethereum,Node.js,Blockchain",Design,₹11 LPA,New York,High
Blockchain Developer,"Machine Learning,Git,PostgreSQL,Illustrator,Adobe XD,Blockchain,HTML",IT/Software,₹39 LPA,New York,Low
Product Manager,"Swift,Adobe XD,Penetration Testing,Network Security,Bash,Jira,AWS",IT/Software,₹14 LPA,San Francisco,Medium
Customer Success Manager,"NumPy,NoSQL,GitLab,Azure",Finance,₹42 LPA,Pune,Medium
SEO Specialist,"Sketch,Go,Data Analysis,TensorFlow",Business,₹43 LPA,Bangalore,Very High
Customer Success Manager,"Power BI,TypeScript,Vue.js,Go",Operations,₹14 LPA,Delhi NCR,High
Digital Marketer,"Figma,PostgreSQL,Java,PyTorch,SQL,Windows",Marketing,₹21 LPA,Mumbai,High
HR Manager,"Tableau,Scikit,Bitbucket",HR,₹39 LPA,Chennai,Very High
Game Developer,"Node.js,UI Design,Scikit,Ansible,Data Visualization",Business,₹10 LPA,San Francisco,Very High
UI/UX Designer,"Google Cloud,Cryptography,Agile,TypeScript,AWS,TensorFlow,Photoshop,MySQL",Business,₹38 LPA,Chennai,Medium
Customer Success Manager,"PostgreSQL,Scikit,Linux,Figma,PyTorch,ASP.NET,MySQL,Natural Language Processing",Operations,₹17 LPA,Remote,High
Customer Success Manager,"Kanban,Ethereum,Django",Marketing,₹34 LPA,New York,High
Data Analyst,"Node.js,Illustrator,Tableau,Cybersecurity,Natural Language Processing",Design,₹21 LPA,London,Very High
Data Analyst,"PostgreSQL,GitLab,Adobe XD,MacOS,Jenkins,Bitbucket",Business,₹20 LPA,Remote,Very High
Content Creator,"Bitbucket,Bash,Pandas,Azure",Finance,₹25 LPA,Chennai,High
Legal Advisor,"JavaScript,CSS,Kotlin,MongoDB,GitLab,NumPy",Business,₹40 LPA,Hyderabad,Medium
Technical Writer,"Tableau,Express.js,Natural Language Processing,Kanban,Java,Computer Vision",HR,₹15 LPA,Hyderabad,Low
Scrum Master,"PyTorch,Swift,Confluence,Angular,Git,JavaScript",Data Science,₹11 LPA,Chennai,Very High
AI Researcher,"MacOS,MySQL,React,Cryptography",IT/Software,₹45 LPA,London,Very High
Legal Advisor,"Deep Learning,Figma,Docker,Penetration Testing,Solidity,Flask",Business,₹23 LPA,Mumbai,High
DevOps Engineer,"Windows,ASP.NET,HTML,Django,Data Analysis",Marketing,₹26 LPA,Remote,Medium
Data Engineer,"Node.js,NoSQL,Terraform,Rust,Ansible,PostgreSQL",Business,₹13 LPA,Hyderabad,High
IT Support Specialist,"Penetration Testing,Ethereum,Photoshop,Excel,C++,Ansible,Vue.js,Kubernetes",HR,₹44 LPA,Delhi NCR,Very High
IT Support Specialist,"PHP,Scikit,HTML,Network Security,Jenkins,NoSQL,Angular",Data Science,₹9 LPA,Hyderabad,Low
Scrum Master,"Angular,SQL,Google Cloud,Jira,GitLab,Data Visualization,Bitbucket,C++",Design,₹45 LPA,Delhi NCR,High
Security Analyst,"Python,Windows,Power BI",IT/Software,₹14 LPA,Remote,Very High
Data Analyst,"Django,Power BI,Cryptography,Agile",Design,₹26 LPA,Mumbai,Medium
Operations Manager,"Power BI,TensorFlow,Swift",Operations,₹19 LPA,Pune,High
Machine Learning Engineer,"AWS,Jira,Sketch,C++,Computer Vision",IT/Software,₹31 LPA,Bangalore,Medium
Database Administrator,"Jira,C++,PowerShell,Docker,Rust,Data Visualization,Blockchain",Operations,₹44 LPA,Delhi NCR,Low
Business Analyst,"Vue.js,Smart Contracts,Spring Boot,Node.js,Ruby on Rails,Docker,Azure",Business,₹20 LPA,Hyderabad,Medium
Sales Executive,"GitLab,C#,PHP,Adobe XD,Photoshop,C++",Finance,₹8 LPA,Chennai,Medium
Legal Advisor,"Photoshop,Spring Boot,Bash",Business,₹35 LPA,New York,High
Software Engineer,"Python,Bitbucket,Confluence",HR,₹14 LPA,Delhi NCR,Low
IT Support Specialist,"Natural Language Processing,Data Analysis,NoSQL,C#,AWS,Photoshop,Go,Adobe XD",Data Science,₹14 LPA,London,Low
Network Engineer,"Spring Boot,Node.js,Power BI,Jenkins",HR,₹27 LPA,Chennai,Low
Content Creator,"Flask,PyTorch,Docker,PostgreSQL",HR,₹7 LPA,Mumbai,Medium
Security Analyst,"C#,Bash,Kotlin",Marketing,₹43 LPA,Pune,Low
Cloud Architect,"Express.js,PHP,CSS",IT/Software,₹42 LPA,Remote,High
IT Support Specialist,"UI Design,React,Power BI",Finance,₹15 LPA,Chennai,Very High
Customer Success Manager,"Bitbucket,Network Security,C#,Tableau,GitLab,Cryptography,Ruby on Rails",HR,₹27 LPA,Chennai,Medium
Technical Writer,"Docker,Elasticsearch,Bash,Data Visualization",Business,₹6 LPA,Hyderabad,Low
Cloud Architect,"Django,Windows,UI Design,Penetration Testing,Ruby",Marketing,₹14 LPA,Mumbai,High
UI/UX Designer,"TypeScript,MySQL,UI Design",Business,₹15 LPA,Mumbai,High
HR Manager,"Agile,GitHub,ASP.NET,TensorFlow,PHP,Elasticsearch,HTML",Marketing,₹4 LPA,San Francisco,High
QA Engineer,"Node.js,UI Design,Power BI",Operations,₹10 LPA,San Francisco,Low
Mobile App Developer,"Angular,Cybersecurity,Pandas",Design,₹24 LPA,San Francisco,Very High
Business Analyst,"MongoDB,Solidity,Confluence,Ethereum",Operations,₹22 LPA,New York,High
Accountant,"Swift,Blockchain,Ruby on Rails,Smart Contracts,Photoshop,Elasticsearch,React,Scikit",Data Science,₹39 LPA,Chennai,Very High
Graphic Designer,"Terraform,Azure,Swift,Rust,Natural Language Processing,Computer Vision,Scikit",IT/Software,₹23 LPA,New York,Low
Cloud Architect,"Illustrator,Cybersecurity,Express.js,GitHub,Figma,Google Cloud,Elasticsearch",Business,₹29 LPA,Mumbai,Medium
Legal Advisor,"React,Pandas,AWS,Jira,Jenkins,PowerShell,Network Security,Spring Boot",Operations,₹45 LPA,London,Medium
HR Manager,"Pandas,MySQL,Sketch",Business,₹7 LPA,Chennai,Low
Site Reliability Engineer,"NoSQL,TensorFlow,Angular,MongoDB,Linux,Illustrator,Elasticsearch,Solidity",Business,₹18 LPA,Mumbai,High
Technical Recruiter,"Express.js,Angular,Ruby,Scrum,Elasticsearch,TensorFlow,Agile,Illustrator",Operations,₹35 LPA,London,High
Technical Recruiter,"Express.js,Kotlin,Pandas",Operations,₹37 LPA,London,Very High
AI Researcher,"PyTorch,Agile,Kotlin",Marketing,₹17 LPA,Remote,Low
Scrum Master,"Jira,JavaScript,ASP.NET,Solidity,MySQL,Data Analysis,Python",Design,₹43 LPA,Remote,High
Database Administrator,"Ansible,Rust,Network Security,Figma,CSS,Linux,Kanban,Node.js",IT/Software,₹44 LPA,London,Low
Digital Marketer,"Power BI,PHP,UX Design,Figma",Business,₹26 LPA,San Francisco,Medium
Technical Recruiter,"Illustrator,Penetration Testing,Smart Contracts,Vue.js,C#,PyTorch,Ansible,Excel",Operations,₹16 LPA,New York,Low
Business Analyst,"C#,Smart Contracts,Pandas,C++,Kubernetes,Ethereum,Data Visualization,Django",Design,₹30 LPA,Bangalore,High
Cloud Architect,"Network Security,Tableau,AWS,TensorFlow",IT/Software,₹24 LPA,London,Medium
Software Engineer,"Angular,Figma,Cybersecurity,Kanban,TypeScript,Swift,PostgreSQL,GitHub",Finance,₹5 LPA,Remote,High
HR Manager,"UX Design,Git,Solidity,Django,CSS,React",Marketing,₹29 LPA,Bangalore,High
QA Engineer,"Scikit,Express.js,Power BI",Business,₹24 LPA,Bangalore,High
Security Analyst,"Terraform,Node.js,Data Visualization,PostgreSQL",Data Science,₹29 LPA,Mumbai,High
Blockchain Developer,"TypeScript,Illustrator,Windows,Power BI,Solidity,MacOS",IT/Software,₹42 LPA,Hyderabad,Very High
Data Engineer,"JavaScript,Docker,UX Design,Node.js,Data Visualization,Linux",Data Science,₹45 LPA,Bangalore,Very High
Software Engineer,"Ruby,HTML,Windows,Ansible,Node.js,Power BI,Machine Learning",Data Science,₹10 LPA,Bangalore,Low
SEO Specialist,"Figma,Go,Bash",Business,₹24 LPA,Mumbai,High
Data Engineer,"Tableau,React,Scikit",Marketing,₹39 LPA,Delhi NCR,Very High
Business Analyst,"ASP.NET,MongoDB,TypeScript,Windows",IT/Software,₹27 LPA,New York,Very High
UI/UX Designer,"Swift,Blockchain,Java,Sketch,Cryptography,Figma",HR,₹38 LPA,Bangalore,High
Graphic Designer,"Pandas,PHP,Deep Learning,Kotlin,Figma",Marketing,₹19 LPA,Pune,Low
Financial Analyst,"Figma,Python,Django,Kanban,GitHub,NumPy,Sketch",Design,₹15 LPA,Mumbai,Medium
Game Developer,"Excel,AWS,Blockchain,HTML,Pandas,Bitbucket,Smart Contracts,PowerShell",Business,₹45 LPA,Delhi NCR,Low
UI/UX Designer,"Django,Windows,CSS",Data Science,₹18 LPA,Remote,Medium
Data Analyst,"Azure,Agile,Scikit",Design,₹28 LPA,San Francisco,High
Sales Executive,"JavaScript,Bash,Confluence,Adobe XD,ASP.NET,UX Design,PowerShell,Jira",Design,₹31 LPA,Pune,Very High
Machine Learning Engineer,"TypeScript,Photoshop,Vue.js,Django,C++,CSS,Express.js,Cybersecurity",Design,₹24 LPA,London,Very High
Financial Analyst,"Kubernetes,PostgreSQL,Deep Learning",HR,₹9 LPA,Hyderabad,Low
Operations Manager,"Angular,Rust,C#,Tableau",Business,₹37 LPA,Chennai,Very High
Graphic Designer,"UI Design,Tableau,Sketch,GitHub,Node.js",Operations,₹29 LPA,New York,Medium
Game Developer,"Kubernetes,ASP.NET,Power BI,AWS,Elasticsearch,Go",HR,₹41 LPA,London,High
Frontend Developer,"SQL,Vue.js,Jenkins,Terraform,Ansible,Flask",Business,₹39 LPA,Mumbai,Low
Data Engineer,"Deep Learning,Scrum,Illustrator",IT/Software,₹15 LPA,Chennai,High
Database Administrator,"Go,Cryptography,Jenkins,Data Analysis,Cybersecurity,Blockchain,Agile",Finance,₹39 LPA,Remote,High
Video Editor,"Confluence,Elasticsearch,PostgreSQL,SQL",Data Science,₹32 LPA,Chennai,Low
IT Support Specialist,"Flask,Python,Kubernetes,Natural Language Processing,Penetration Testing",Marketing,₹20 LPA,Mumbai,Very High
Technical Writer,"Machine Learning,Scrum,Deep Learning,Excel,Adobe XD",Marketing,₹36 LPA,Pune,Very High
Data Analyst,"GitLab,Adobe XD,Spring Boot,Deep Learning",Operations,₹4 LPA,Pune,Very High
QA Engineer,"CSS,C++,Adobe XD,UX Design,Kotlin,React,Blockchain,Go",IT/Software,₹42 LPA,London,Low
Cloud Architect,"C++,Google Cloud,Terraform,Smart Contracts,Angular,Excel,Java",Business,₹27 LPA,Pune,Medium
Blockchain Developer,"TensorFlow,Bash,Azure",Business,₹24 LPA,Mumbai,Medium
Sales Executive,"Ethereum,Google Cloud,PyTorch",IT/Software,₹33 LPA,Hyderabad,High
SEO Specialist,"Ethereum,Jenkins,JavaScript,Kotlin,Windows",Data Science,₹37 LPA,Mumbai,High
Customer Success Manager,"Linux,UX Design,Git,Bash,Figma,Elasticsearch",Operations,₹24 LPA,Bangalore,Medium
Technical Writer,"Adobe XD,Cybersecurity,Deep Learning,UX Design,Node.js,CSS",Operations,₹44 LPA,Pune,Low
Technical Recruiter,"Java,Adobe XD,ASP.NET,Tableau",Marketing,₹8 LPA,Bangalore,Low
Financial Analyst,"Cryptography,Express.js,Django",Design,₹8 LPA,Bangalore,Medium
Backend Developer,"Computer Vision,Python,Express.js",Data Science,₹33 LPA,Mumbai,Very High
HR Manager,"Data Visualization,Solidity,Rust,Natural Language Processing",Data Science,₹9 LPA,San Francisco,Medium
System Administrator,"Swift,PowerShell,Smart Contracts,Illustrator,NoSQL",Business,₹43 LPA,Hyderabad,Low
Content Creator,"PyTorch,Terraform,AWS,SQL,Rust,Elasticsearch",Operations,₹12 LPA,Chennai,High
Business Analyst,"Django,Jenkins,Windows,Figma",Data Science,₹8 LPA,Delhi NCR,Very High
Technical Writer,"PyTorch,Excel,Cybersecurity,Vue.js,Blockchain,Java,Sketch",Marketing,₹27 LPA,Delhi NCR,Low
Full Stack Developer,"NumPy,Docker,ASP.NET,JavaScript",Finance,₹25 LPA,Remote,Very High
Technical Recruiter,"GitLab,Jira,Go,Computer Vision,Natural Language Processing,Power BI",IT/Software,₹36 LPA,Bangalore,Very High
Data Analyst,"JavaScript,UX Design,Penetration Testing",Marketing,₹27 LPA,Delhi NCR,Medium
Game Developer,"Ruby,Confluence,Deep Learning,React,Scikit",Finance,₹16 LPA,San Francisco,Medium
AI Researcher,"Kubernetes,PHP,Angular,ASP.NET,Adobe XD,Tableau,Rust",Marketing,₹30 LPA,New York,High
Legal Advisor,"Kotlin,Blockchain,Adobe XD,Spring Boot,Docker,Kanban,AWS",Operations,₹27 LPA,Chennai,High
Software Engineer,"React,Angular,MacOS",IT/Software,₹24 LPA,Chennai,Medium
IT Support Specialist,"Jira,Photoshop,TensorFlow,Elasticsearch",IT/Software,₹22 LPA,Bangalore,Very High
IT Support Specialist,"Elasticsearch,Agile,CSS,Pandas",HR,₹36 LPA,Delhi NCR,Medium
Technical Recruiter,"Go,UX Design,Flask,Express.js,MongoDB,NumPy,Git,Google Cloud",Design,₹13 LPA,Bangalore,Medium
DevOps Engineer,"Linux,Pandas,NoSQL,Machine Learning,Natural Language Processing",Data Science,₹41 LPA,Delhi NCR,Medium
Game Developer,"CSS,Flask,Kubernetes",IT/Software,₹25 LPA,New York,High
QA Engineer,"PyTorch,Jenkins,C#,Tableau,PowerShell,Scikit",Design,₹11 LPA,Remote,Low
Customer Success Manager,"Data Visualization,Kotlin,Rust",IT/Software,₹25 LPA,Hyderabad,High
IT Support Specialist,"Natural Language Processing,Django,CSS",Data Science,₹28 LPA,San Francisco,Low
UI/UX Designer,"Agile,Elasticsearch,Confluence,NumPy,MySQL,Azure,Pandas",Finance,₹35 LPA,Delhi NCR,High
UI/UX Designer,"React,Computer Vision,PostgreSQL,C#,Elasticsearch,NoSQL,TensorFlow",IT/Software,₹38 LPA,Delhi NCR,Low
