Role,Skill,Roadmap_Steps
Cloud Architect,Go,"[""Week 1: Introduction to Go Fundamentals & Setup for Cloud Architect"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Go"", ""Week 3: Advanced Go Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Go""]"
Site Reliability Engineer,Google Cloud,"[""Week 1: Introduction to Google Cloud Fundamentals & Setup for Site Reliability Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Google Cloud"", ""Week 3: Advanced Google Cloud Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Google Cloud""]"
Database Administrator,AWS,"[""Week 1: Introduction to AWS Fundamentals & Setup for Database Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in AWS"", ""Week 3: Advanced AWS Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using AWS""]"
Database Administrator,Bash,"[""Week 1: Introduction to Bash Fundamentals & Setup for Database Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Bash"", ""Week 3: Advanced Bash Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Bash""]"
Technical Recruiter,Jenkins,"[""Week 1: Introduction to Jenkins Fundamentals & Setup for Technical Recruiter"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Jenkins"", ""Week 3: Advanced Jenkins Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Jenkins""]"
Frontend Developer,C++,"[""Week 1: Introduction to C++ Fundamentals & Setup for Frontend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in C++"", ""Week 3: Advanced C++ Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using C++""]"
Operations Manager,Jira,"[""Week 1: Introduction to Jira Fundamentals & Setup for Operations Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Jira"", ""Week 3: Advanced Jira Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Jira""]"
Financial Analyst,Agile,"[""Week 1: Introduction to Agile Fundamentals & Setup for Financial Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Agile"", ""Week 3: Advanced Agile Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Agile""]"
IT Support Specialist,Express.js,"[""Week 1: Introduction to Express.js Fundamentals & Setup for IT Support Specialist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Express.js"", ""Week 3: Advanced Express.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Express.js""]"
Machine Learning Engineer,Java,"[""Week 1: Introduction to Java Fundamentals & Setup for Machine Learning Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Java"", ""Week 3: Advanced Java Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Java""]"
Game Developer,Go,"[""Week 1: Introduction to Go Fundamentals & Setup for Game Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Go"", ""Week 3: Advanced Go Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Go""]"
Operations Manager,Docker,"[""Week 1: Introduction to Docker Fundamentals & Setup for Operations Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Docker"", ""Week 3: Advanced Docker Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Docker""]"
Cloud Architect,Rust,"[""Week 1: Introduction to Rust Fundamentals & Setup for Cloud Architect"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Rust"", ""Week 3: Advanced Rust Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Rust""]"
Digital Marketer,JavaScript,"[""Week 1: Introduction to JavaScript Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in JavaScript"", ""Week 3: Advanced JavaScript Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using JavaScript""]"
Sales Executive,Power BI,"[""Week 1: Introduction to Power BI Fundamentals & Setup for Sales Executive"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Power BI"", ""Week 3: Advanced Power BI Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Power BI""]"
Technical Writer,Data Visualization,"[""Week 1: Introduction to Data Visualization Fundamentals & Setup for Technical Writer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Data Visualization"", ""Week 3: Advanced Data Visualization Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Data Visualization""]"
Full Stack Developer,Cybersecurity,"[""Week 1: Introduction to Cybersecurity Fundamentals & Setup for Full Stack Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Cybersecurity"", ""Week 3: Advanced Cybersecurity Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Cybersecurity""]"
Software Engineer,Bash,"[""Week 1: Introduction to Bash Fundamentals & Setup for Software Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Bash"", ""Week 3: Advanced Bash Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Bash""]"
Frontend Developer,GitHub,"[""Week 1: Introduction to GitHub Fundamentals & Setup for Frontend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in GitHub"", ""Week 3: Advanced GitHub Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using GitHub""]"
Data Engineer,Natural Language Processing,"[""Week 1: Introduction to Natural Language Processing Fundamentals & Setup for Data Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Natural Language Processing"", ""Week 3: Advanced Natural Language Processing Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Natural Language Processing""]"
Data Scientist,Elasticsearch,"[""Week 1: Introduction to Elasticsearch Fundamentals & Setup for Data Scientist"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Elasticsearch"", ""Week 3: Advanced Elasticsearch Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Elasticsearch""]"
Full Stack Developer,Cryptography,"[""Week 1: Introduction to Cryptography Fundamentals & Setup for Full Stack Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Cryptography"", ""Week 3: Advanced Cryptography Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Cryptography""]"
Network Engineer,Smart Contracts,"[""Week 1: Introduction to Smart Contracts Fundamentals & Setup for Network Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Smart Contracts"", ""Week 3: Advanced Smart Contracts Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Smart Contracts""]"
Legal Advisor,CSS,"[""Week 1: Introduction to CSS Fundamentals & Setup for Legal Advisor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in CSS"", ""Week 3: Advanced CSS Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using CSS""]"
System Administrator,React,"[""Week 1: Introduction to React Fundamentals & Setup for System Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in React"", ""Week 3: Advanced React Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using React""]"
Financial Analyst,Bash,"[""Week 1: Introduction to Bash Fundamentals & Setup for Financial Analyst"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Bash"", ""Week 3: Advanced Bash Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Bash""]"
Legal Advisor,Kubernetes,"[""Week 1: Introduction to Kubernetes Fundamentals & Setup for Legal Advisor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Kubernetes"", ""Week 3: Advanced Kubernetes Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Kubernetes""]"
Content Creator,Sketch,"[""Week 1: Introduction to Sketch Fundamentals & Setup for Content Creator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Sketch"", ""Week 3: Advanced Sketch Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Sketch""]"
Frontend Developer,Blockchain,"[""Week 1: Introduction to Blockchain Fundamentals & Setup for Frontend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Blockchain"", ""Week 3: Advanced Blockchain Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Blockchain""]"
Backend Developer,TensorFlow,"[""Week 1: Introduction to TensorFlow Fundamentals & Setup for Backend Developer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in TensorFlow"", ""Week 3: Advanced TensorFlow Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using TensorFlow""]"
Video Editor,Node.js,"[""Week 1: Introduction to Node.js Fundamentals & Setup for Video Editor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Node.js"", ""Week 3: Advanced Node.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Node.js""]"
Cloud Architect,SQL,"[""Week 1: Introduction to SQL Fundamentals & Setup for Cloud Architect"", ""Week 2: Core Concepts, Syntax, and Basic Projects in SQL"", ""Week 3: Advanced SQL Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using SQL""]"
Graphic Designer,Vue.js,"[""Week 1: Introduction to Vue.js Fundamentals & Setup for Graphic Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Vue.js"", ""Week 3: Advanced Vue.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Vue.js""]"
System Administrator,GitLab,"[""Week 1: Introduction to GitLab Fundamentals & Setup for System Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in GitLab"", ""Week 3: Advanced GitLab Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using GitLab""]"
Data Engineer,Go,"[""Week 1: Introduction to Go Fundamentals & Setup for Data Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Go"", ""Week 3: Advanced Go Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Go""]"
Database Administrator,Data Visualization,"[""Week 1: Introduction to Data Visualization Fundamentals & Setup for Database Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Data Visualization"", ""Week 3: Advanced Data Visualization Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Data Visualization""]"
HR Manager,Jira,"[""Week 1: Introduction to Jira Fundamentals & Setup for HR Manager"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Jira"", ""Week 3: Advanced Jira Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Jira""]"
Graphic Designer,MacOS,"[""Week 1: Introduction to MacOS Fundamentals & Setup for Graphic Designer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in MacOS"", ""Week 3: Advanced MacOS Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using MacOS""]"
Legal Advisor,Vue.js,"[""Week 1: Introduction to Vue.js Fundamentals & Setup for Legal Advisor"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Vue.js"", ""Week 3: Advanced Vue.js Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Vue.js""]"
AI Researcher,GitLab,"[""Week 1: Introduction to GitLab Fundamentals & Setup for AI Researcher"", ""Week 2: Core Concepts, Syntax, and Basic Projects in GitLab"", ""Week 3: Advanced GitLab Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using GitLab""]"
QA Engineer,Azure,"[""Week 1: Introduction to Azure Fundamentals & Setup for QA Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Azure"", ""Week 3: Advanced Azure Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Azure""]"
Technical Writer,MongoDB,"[""Week 1: Introduction to MongoDB Fundamentals & Setup for Technical Writer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in MongoDB"", ""Week 3: Advanced MongoDB Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using MongoDB""]"
Digital Marketer,Excel,"[""Week 1: Introduction to Excel Fundamentals & Setup for Digital Marketer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Excel"", ""Week 3: Advanced Excel Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Excel""]"
System Administrator,Bitbucket,"[""Week 1: Introduction to Bitbucket Fundamentals & Setup for System Administrator"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Bitbucket"", ""Week 3: Advanced Bitbucket Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Bitbucket""]"
Site Reliability Engineer,Illustrator,"[""Week 1: Introduction to Illustrator Fundamentals & Setup for Site Reliability Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Illustrator"", ""Week 3: Advanced Illustrator Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Illustrator""]"
Technical Recruiter,C++,"[""Week 1: Introduction to C++ Fundamentals & Setup for Technical Recruiter"", ""Week 2: Core Concepts, Syntax, and Basic Projects in C++"", ""Week 3: Advanced C++ Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using C++""]"
QA Engineer,Git,"[""Week 1: Introduction to Git Fundamentals & Setup for QA Engineer"", ""Week 2: Core Concepts, Syntax, and Basic Projects in Git"", ""Week 3: Advanced Git Architecture and Real-world Patterns"", ""Week 4: Capstone Project: End-to-End implementation using Git""]"
